"Question","Option_A","Option_B","Option_C","Option_D","Correct_Option","Explanation"
"One of the following metal gives passive layer over iron metal to protect iron from corrosion.","Sodium","Magnesium","Zinc","Chromium","D","Chromium forms a highly stable, non-porous passive oxide layer ($Cr_2O_3$) on its surface, which prevents moisture and oxygen from reaching the underlying iron."
"The method of protection base (iron) metal from corrosion by attaching a small anode metal is known as","Sacrificial cathode","Sacrificial anode","Impressed current","Passive method","B","In sacrificial anode protection, a metal with a higher oxidation potential than iron is attached. This more active metal acts as the anode and undergoes oxidation (corrodes) preferentially, saving the base metal."
"18/8 stainless steel contains","18% chromium and 8% nickel","18% chromium and 8% molybdenum","18% nickel and 8% chromium","18% molybdenum and 8% nickel","A","The numbers 18/8 denote the standard mass percentages of the primary alloying elements in this grade of austenitic stainless steel: $18\%$ Chromium ($Cr$) and $8\%$ Nickel ($Ni$)."
"The process of coating Zinc iron to improve corrosion resistance of iron is called","Annealing","Galvanising","Zincification","Tempering","B","Galvanizing is the specific industrial process of applying a protective Zinc ($Zn$) coating to steel or iron to prevent rusting."
"Which of the following is most prone to atmospheric corrosion.","Silver","Iron","Tin","Copper","B","Iron ($Fe$) readily reacts with oxygen ($O_2$) and moisture ($H_2O$) in the atmosphere to undergo electrochemical oxidation, forming hydrated ferric oxide ($Fe_2O_3 \cdot xH_2O$), known as rust."
"Corrosion of a metal is fastest in","rain-water","acidulated water","distilled water","de-ionised water","A","Rain water contains dissolved atmospheric gases like $CO_2$, $SO_2$, and $NO_x$, which form weak acids. These dissolved ions increase the conductivity of the water, acting as a strong electrolyte that accelerates galvanic corrosion."
"The process of cementation with zinc powder is known as","sheradizing","zincing","metal cladding","electroplating","A","Sherardizing is a thermal diffusion galvanizing process where ferrous metal surfaces are coated with zinc by heating them in a sealed container filled with zinc dust."
"Which of the following metal ions will undergo fastest reduction?","$K^+$","$Al^{+3}$","$Cd^{+2}$","$Ag^+$","D","Silver has the highest standard reduction potential ($E^\circ = +0.80\text{ V}$) among the given choices, meaning the $Ag^+$ ion has the strongest thermodynamic tendency to accept electrons and be reduced to solid $Ag$."
"A zinc rod half immersed in a beaker containing water","Corrodes fastest at the top","Does not corrode at all","Corrode fastest at the water-metal boundary","Corrodes fastest at the bottom","D","The bottom of the rod is in a region of lower oxygen concentration compared to the top. This creates a differential aeration cell where the oxygen-starved region (bottom) becomes the anode and corrodes fastest."
"The effect of sulphur dioxide on iron is to","Decrease the rate of corrosion","Increase the rate of corrosion","First decrease and then increase the rate of corrosion","Bring no change in its corrosion","B","Sulphur dioxide ($SO_2$) dissolves in surface moisture to form sulphurous and sulphuric acids. This lowers the pH, providing high concentrations of $H^+$ ions that accelerate the cathodic reduction process, thus increasing the overall corrosion rate."
"Glass is corroded by","Fluorine (dry or wet)","Sulphuric acid (concentrated)","Phosphoric acid","Carbonic acid","A","Glass consists primarily of silica ($SiO_2$). It is highly resistant to most acids but reacts readily with highly reactive halogens like fluorine or hydrofluoric acid ($HF$) to form volatile silicon tetrafluoride ($SiF_4$)."
"The most resistant material to alkaline corrosion is","Cast iron","Nickel","Aluminium","Brass","B","Nickel ($Ni$) demonstrates exceptional resistance to alkalis (like $NaOH$ or $KOH$) because it forms a highly stable, insoluble passive oxide/hydroxide film in basic environments."
"Which one of the following reaction takes place under standard conditions","a strip of lead is placed into an aqueous solution of zinc nitrate","a strip of copper is placed into an aqueous solution of zinc nitrate","a strip of silver is placed into an aqueous solution of copper nitrate","a strip of iron is placed in the air under acidic conditions","D","Under acidic conditions in the presence of air, iron undergoes spontaneous electrochemical oxidation ($Fe \rightarrow Fe^{2+} + 2e^-$) while oxygen is reduced, a classic spontaneous corrosion reaction."
"How is anode metal selected ot prevent corrosion by sacrificial anodic protection method","oxidation potential of anode metal is higher than that of protected metal","oxidation potential of anode metal is lower than that of protected metal","reduction potential of anode metal is higher than that of protected metal","sacrificial anode is always zinc","A","For a metal to sacrifice itself and protect the base metal, it must be more reactive. This means it must have a higher tendency to lose electrons, which equates to a higher standard oxidation potential."
"Which one of the following statement is correct","aluminum corrodes faster than iron in air","rusting of iron is quicker in saline water","corrosion do not occur in steel pipe connected to copper plumbing","bolts and must made of the different metals are preferred to prevent corrosion","B","Saline water contains dissolved sodium ($Na^+$) and chloride ($Cl^-$) ions. These ions drastically increase the electrical conductivity of the aqueous electrolyte, facilitating faster electron transport between anodic and cathodic sites."
"The metal commonly employed as sacrificial anodes is","iron","magnesium","vanadium","sodium","B","Magnesium ($Mg$) has a very high oxidation potential compared to iron/steel. It is safely and widely used as a sacrificial anode in cathodic protection systems for underground pipelines and water heaters."
"The process of coating iron or a steel sheet with a thin coat of Zinc to prevent them from rusting is known as","galvanization","tinning","electro plating","metal cladding","A","Galvanization specifically refers to the metallurgical process of coating steel or iron with Zinc ($Zn$) to prevent atmospheric corrosion."
"The chemical composition of rust is","$Fe_2O_3 \cdot XH_2O$","$Fe_2O_3$","$Fe_3O_4 \cdot XH_2O$","$Fe_3O_4$","A","Rust is formed by the oxidation of iron in the presence of water, resulting in hydrated iron(III) oxide, chemically written as $Fe_2O_3 \cdot xH_2O$."
"Which one of the following could provide cathodic protection to iron","Cu","Zn","Ni","Co","B","Zinc ($Zn$) is situated above iron in the electrochemical series. It has a higher oxidation potential, allowing it to act as the anode and provide cathodic protection to the iron."
"Wet corrosion is best explained by","bohr's theory","electrochemical theory","bronsted-lowry theory","arrhenius theory","B","Wet (aqueous) corrosion involves the transfer of electrons from anodic sites to cathodic sites through an electrically conductive medium (electrolyte), completely aligning with electrochemical theory."
"By using cathodic protection technique the corrosion of metal surface is avoided by making it work as","salt bridge of electrochemical cell","anode of electrochemical cell","cathode of electrochemical cell","insulator","C","Corrosion is an oxidation process that occurs exclusively at the anode. By externally forcing the protected metal to act as the cathode, oxidation is entirely halted."
"Which one of the following metals could provide cathodic protection to iron","Cu and Ni","Zn and Cu","Al and Zn","Al, Zn and Ni","C","Both Aluminum ($Al$) and Zinc ($Zn$) possess higher oxidation potentials than Iron ($Fe$), meaning they will oxidize preferentially and serve as sacrificial anodes."
"Rusting of iron is catalysed by which of the following","Fe","zn","$O_2$","$H^+$","D","In acidic environments, the high concentration of $H^+$ ions accelerates the cathodic half-reaction ($O_2 + 4H^+ + 4e^- \rightarrow 2H_2O$ or $2H^+ + 2e^- \rightarrow H_2$), thereby catalyzing the entire rusting mechanism."
"Difficult to monitor and very dangerous form of corrosion is","galvanic","pitting","crevice","stress","B","Pitting corrosion is intensely localized and penetrates deep into the metal mass while leaving the surface relatively unaffected, making it nearly invisible until catastrophic structural failure occurs."
"When Pt and Co are electrically connected, which one gets corroded","Co","Pt","none","both","A","Cobalt ($Co$) is much more electropositive than the noble metal Platinum ($Pt$). In a galvanic couple, the more active metal ($Co$) forms the anode and undergoes oxidation (corrosion)."
"In the preparation of wrought iron from cast iron, the furnace employed is ______","electrical","open hearth","reverberatory","blast","C","A reverberatory furnace (specifically in the puddling process) is traditionally used to melt cast iron and oxidize its carbon and other impurities to produce pure wrought iron."
"The type of protection against corrosion applied to marine piers and water box coolers is ______","impressed current cathodic protection","metal rusting","tinning","metal painting","A","Marine piers are massive structures submerged in highly conductive seawater. They require Impressed Current Cathodic Protection (ICCP) to deliver large, continuous protective DC currents."
"A metal is dipped separately in different pH solutions of 1, 2, 3 and 4. In which pH solution is the metal easily corroded","1","2","3","4","A","The lowest pH (pH = 1) has the highest concentration of hydrogen ions ($H^+$). High acidity drastically increases the rate of the cathodic reduction reaction, resulting in severe corrosion."
"The composition of rust is","$Fe(OH)_3$","$FeCl_3$","$FeO$","$Fe_2O_3 \cdot xH_2O$","D","Rust is chemically defined as hydrated ferric oxide, represented by the stoichiometric formula $Fe_2O_3 \cdot xH_2O$."
